PZ_molality,CO2_loading,temperature,Cp_mass
2,0,40,3.867647059
2,0,44.93150685,3.880882353
2,0,49.9543379,3.894117647
2,0,54.97716895,3.904411765
2,0,60,3.916176471
2,0,64.93150685,3.926470588
2,0,69.9543379,3.936764706
2,0,74.97716895,3.945588235
2,0,80,3.958823529
2,0,85.02283105,3.982352941
2,0,89.9543379,3.998529412
2,0,94.97716895,4.014705882
2,0,99.9086758,4.029411765
2,0,105.0228311,4.045588235
2,0,109.9543379,4.058823529
2,0,114.8858447,4.072058824
2,0,119.9086758,4.082352941
2,0.16,39.9086758,3.745588235
2,0.16,44.93150685,3.760294118
2,0.16,49.9543379,3.775
2,0.16,54.97716895,3.786764706
2,0.16,59.9086758,3.8
2,0.16,64.93150685,3.811764706
2,0.16,69.9543379,3.823529412
2,0.16,74.97716895,3.832352941
2,0.16,79.9086758,3.845588235
2,0.16,84.93150685,3.866176471
2,0.16,89.9543379,3.883823529
2,0.16,94.88584475,3.902941176
2,0.16,99.9086758,3.917647059
2,0.16,104.9315068,3.930882353
2,0.16,109.9543379,3.942647059
2,0.16,114.9771689,3.954411765
2,0.16,119.9086758,3.967647059
2,0.27,40,3.633823529
2,0.27,44.95694586,3.650745281
2,0.27,49.98142404,3.671141957
2,0.27,54.93800386,3.691429919
2,0.27,59.96923324,3.708693531
2,0.27,64.96084547,3.721790172
2,0.27,69.94354005,3.733840884
2,0.27,74.99144408,3.743774682
2,0.27,80.01592226,3.75904898
2,0.27,84.94907623,3.781085701
2,0.27,89.97355441,3.800596782
2,0.27,94.93013424,3.820338062
2,0.27,99.88671407,3.83777113
2,0.27,105.0025164,3.853078215
2,0.27,109.9356704,3.866745255
2,0.27,114.9601486,3.883692385
2,0.27,119.9167284,3.90051803
3.6,0,40.04514673,3.719417476
3.6,0,45.01128668,3.730097087
3.6,0,49.97742664,3.741747573
3.6,0,54.94356659,3.752427184
3.6,0,60,3.76407767
3.6,0,64.96613995,3.773786408
3.6,0,69.93227991,3.785436893
3.6,0,74.89841986,3.797087379
3.6,0,79.95485327,3.80776699
3.6,0,85.01128668,3.818446602
3.6,0,89.97742664,3.829126214
3.6,0,94.94356659,3.839805825
3.6,0,100,3.851456311
3.6,0,104.96614,3.862135922
3.6,0,109.9322799,3.873786408
3.6,0,114.8984199,3.884466019
3.6,0,119.9548533,3.896116505
3.6,0.16,39.95997631,3.498547132
3.6,0.16,44.98311,3.526201351
3.6,0.16,50.0062437,3.547448874
3.6,0.16,54.96149721,3.567155546
3.6,0.16,60.00640379,3.584773995
3.6,0.16,64.96229768,3.604505497
3.6,0.16,69.96301811,3.618976795
3.6,0.16,74.9861518,3.63422311
3.6,0.16,79.94140531,3.650361496
3.6,0.16,84.89665882,3.664959031
3.6,0.16,89.91979252,3.679556565
3.6,0.16,94.94292621,3.692532152
3.6,0.16,99.96605991,3.710130291
3.6,0.16,104.9891936,3.731377815
3.6,0.16,109.943543,3.74945243
3.6,0.16,114.8997006,3.764952145
3.6,0.16,119.9228343,3.782469187
3.6,0.38,40.13544018,3.293203883
3.6,0.38,45.01128668,3.340776699
3.6,0.38,49.97742664,3.381553398
3.6,0.38,55.03386005,3.409708738
3.6,0.38,60,3.417475728
3.6,0.38,64.96613995,3.431067961
3.6,0.38,70.02257336,3.445631068
3.6,0.38,74.98871332,3.46407767
3.6,0.38,79.95485327,3.484466019
3.6,0.38,85.01128668,3.502912621
3.6,0.38,89.97742664,3.52038835
3.6,0.38,94.94356659,3.540776699
3.6,0.38,99.90970655,3.566019417
3.6,0.38,104.96614,3.591262136
3.6,0.38,109.9322799,3.62038835
3.6,0.38,114.9887133,3.644660194
3.6,0.38,119.9548533,3.683495146
