CO2_loading,temperature,Cp_mass
0,40.03068659,3.717730402
0,44.98745541,3.73110102
0,49.94422423,3.740977045
0,54.96889399,3.751574778
0,59.99356375,3.761488788
0,65.01823351,3.774821421
0,69.97500233,3.785799002
0,74.93177114,3.796700613
0,79.9564409,3.80627276
0,84.98111067,3.817212356
0,90.00578043,3.829519402
0,94.96254924,3.840496983
0,99.91931806,3.851398595
0,104.9439878,3.862680054
0,109.9686576,3.871910338
0,114.9933273,3.884559246
0,119.9500962,3.895194965
0.16,39.96278565,3.498938476
0.16,44.98745541,3.526287467
0.16,50.01212517,3.548166659
0.16,54.96889399,3.567310953
0.16,59.96303578,3.583514677
0.16,65.08613445,3.603361895
0.16,70.0149925,3.619565217
0.16,74.99967209,3.632948531
0.16,79.9564409,3.649357925
0.16,84.91320972,3.66576732
0.16,89.93787948,3.679441815
0.16,94.96254924,3.692508555
0.16,99.987219,3.709525705
0.16,105.0118888,3.731404898
0.16,109.9686576,3.747814292
0.16,114.9254264,3.764223687
0.16,119.9500962,3.781240837
0.38,40.03068659,3.287872086
0.38,44.98745541,3.335125065
0.38,50.03417925,3.375388857
0.38,54.96889399,3.406840196
0.38,59.99356375,3.412309995
0.38,65.04028759,3.427503878
0.38,69.97500233,3.441482251
0.38,75.02172617,3.457435829
0.38,80.04639593,3.479315022
0.38,84.98111067,3.499826765
0.38,90.00578043,3.517261747
0.38,94.96254924,3.536595964
0.38,99.987219,3.559690667
0.38,105.0118888,3.585824147
0.38,109.9686576,3.614692527
0.38,114.9933273,3.637939169
0.38,119.9500962,3.678810716
