data_batch,molality_PZ,temperature,molality_CO2,pressure_total,,,,,,,,,,,,,,,,,
1,1.995,313.13,1.452,0.0133,,,,,,,,,,,,,,,,,
1,1.995,313.13,2.037,0.1707,,,,,,,,,,,,,,,,,
1,1.995,313.13,2.102,0.2652,,,,,,,,,,,,,,,,,
1,1.995,313.13,2.328,0.7535,,,,,,,,,,,,,,,,,
1,1.995,313.13,2.54,1.486,,,,,,,,,,,,,,,,,
1,1.995,313.13,2.884,2.859,,,,,,,,,,,,,,,,,
1,1.995,313.13,3.107,3.702,,,,,,,,,,,,,,,,,
2,1.995,333.14,1.38,0.0308,,,,,,,,,,,,,,,,,
2,1.995,333.14,1.785,0.1016,,,,,,,,,,,,,,,,,
2,1.995,333.14,2.077,0.5144,,,,,,,,,,,,,,,,,
2,1.995,333.14,2.361,1.616,,,,,,,,,,,,,,,,,
2,1.995,333.14,2.462,2.158,,,,,,,,,,,,,,,,,
2,1.995,333.14,2.681,3.533,,,,,,,,,,,,,,,,,
2,1.995,333.14,2.762,3.978,,,,,,,,,,,,,,,,,
2,1.995,333.14,3.157,7.147,,,,,,,,,,,,,,,,,
3,2.035,333.14,2.088,0.482,,,,,,,,,,,,,,,,,
3,2.035,333.14,2.327,1.435,,,,,,,,,,,,,,,,,
3,2.035,333.14,2.796,4.039,,,,,,,,,,,,,,,,,
3,2.035,333.14,2.897,5.007,,,,,,,,,,,,,,,,,
3,2.035,333.14,3.194,7.683,,,,,,,,,,,,,,,,,
3,2.035,333.14,3.342,9.131,,,,,,,,,,,,,,,,,
4,1.995,353.16,1.289,0.063,,,,,,,,,,,,,,,,,
4,1.995,353.16,1.661,0.1385,,,,,,,,,,,,,,,,,
4,1.995,353.16,1.83,0.2627,,,,,,,,,,,,,,,,,
4,1.995,353.16,1.874,0.3736,,,,,,,,,,,,,,,,,
4,1.995,353.16,2.058,1.151,,,,,,,,,,,,,,,,,
4,1.995,353.16,2.205,1.827,,,,,,,,,,,,,,,,,
