x_PZ,temperature,cp,cp_excess
0.05,303.2,82.5,2.16
0.05,308.2,82.8,2.37
0.05,313.2,83.2,2.58
0.05,318.2,83.5,2.78
0.05,323.2,83.8,2.99
0.05,328.2,84.2,3.2
0.05,333.2,84.5,3.41
0.05,338.2,84.9,3.62
0.05,343.2,85.3,3.83
0.05,348.2,85.6,4.04
0.05,353.2,86,4.25
0.1,303.2,89.4,3.88
0.1,308.2,90,4.28
0.1,313.2,90.6,4.68
0.1,318.2,91.2,5.08
0.1,323.2,92,5.58
0.1,328.2,92.6,5.98
0.1,333.2,93.3,6.38
0.1,338.2,93.9,6.78
0.1,343.2,94.6,7.18
0.1,348.2,95.2,7.58
0.1,353.2,95.9,7.98
0.15,303.2,96.1,5.53
0.15,308.2,97,6.13
0.15,313.2,98,6.73
0.15,318.2,98.9,7.33
0.15,323.2,99.9,7.93
0.15,328.2,100.8,8.53
0.15,333.2,101.7,9.03
0.15,338.2,102.5,9.53
0.15,343.2,103.5,10.13
0.15,348.2,104.4,10.63
0.15,353.2,105.3,11.23
0.2,303.2,103.7,7.95
0.2,308.2,104.8,8.65
0.2,313.2,105.9,9.35
0.2,318.2,107.1,10.05
0.2,323.2,108.2,10.75
0.2,328.2,109.4,11.45
0.2,333.2,110.6,12.25
0.2,338.2,111.8,12.95
0.2,343.2,113,13.65
0.2,348.2,114.1,14.35
0.2,353.2,115.3,15.05
