molality_PZ,temperature,c_p
2,39.97508627,3.72001812
2,45.01403762,3.730977406
2,49.97300562,3.741936692
2,55.01195697,3.752895978
2,59.97092497,3.763855264
2,64.92989297,3.77481455
2,69.96884432,3.785773836
2,74.92781232,3.796813705
2,79.96676367,3.807692408
2,84.92573167,3.818743789
2,89.96468303,3.829691563
2,94.92365102,3.840650849
2,99.96260238,3.851529552
2,104.9215704,3.863133502
2,109.8805384,3.874000693
2,114.9194897,3.885052074
2,119.8784577,3.895850194
3.6,39.97508627,3.867738244
3.6,44.93405426,3.881828755
3.6,50.05298897,3.894077368
3.6,55.01195697,3.905405034
3.6,59.97092497,3.916548509
3.6,64.92989297,3.926310562
3.6,70.04882768,3.936625185
3.6,75.00779567,3.945650479
3.6,79.96676367,3.959280515
3.6,84.92573167,3.982304225
3.6,89.96468303,3.999802245
3.6,95.00363438,4.015826747
3.6,99.96260238,4.030193542
3.6,104.9215704,4.045481286
3.6,109.8805384,4.059019227
3.6,114.9194897,4.0720046
3.6,119.9584411,4.083055981
