Description,Name,Value,Uncertainty,Percent
params.reaction_MEA_bicarbonate_formation.k_eq_coeff_1,params.reaction_MEA_bicarbonate_formation.k_eq_coeff_1,548.7,9.7,0.017720990505718768
params.reaction_MEA_bicarbonate_formation.k_eq_coeff_2,params.reaction_MEA_bicarbonate_formation.k_eq_coeff_2,-11771.9,692.1,0.05879512412475971
params.reaction_MEA_bicarbonate_formation.k_eq_coeff_3,params.reaction_MEA_bicarbonate_formation.k_eq_coeff_3,-93.1,1.4,0.01557191669694531
params.reaction_MEA_carbamate_formation_combo.k_eq_coeff_1,params.reaction_MEA_carbamate_formation_combo.k_eq_coeff_1,321.4,9.7,0.030244143336131492
params.reaction_MEA_carbamate_formation_combo.k_eq_coeff_2,params.reaction_MEA_carbamate_formation_combo.k_eq_coeff_2,3313.8,557.6,0.16826411757149987
params.reaction_MEA_carbamate_formation_combo.k_eq_coeff_3,params.reaction_MEA_carbamate_formation_combo.k_eq_coeff_3,-60.5,1.4,0.023556161950990955
"params.Liq.tau_A[H2O,'MEAH^+, MEACOO^-']","params.Liq.tau_A[H2O,'MEAH^+, MEACOO^-']",-2.5,7.2,2.8590424280387876
"params.Liq.tau_B[H2O,'MEAH^+, MEACOO^-']","params.Liq.tau_B[H2O,'MEAH^+, MEACOO^-']",-704.5,2314.7,3.2855842384037866
"params.Liq.tau_A[H2O,'MEAH^+, HCO3^-']","params.Liq.tau_A[H2O,'MEAH^+, HCO3^-']",0.7,6.9,10.232798911751892
"params.Liq.tau_B[H2O,'MEAH^+, HCO3^-']","params.Liq.tau_B[H2O,'MEAH^+, HCO3^-']",912.6,2185.7,2.395010121461785
