,MEA_weight_fraction,temperature,CO2_loading,CO2_pressure,total_pressure
5,0.3,100.0,0.315,16,146
7,0.3,100.0,0.315,12,143
0,0.3,100.0,0.388,34,125
1,0.3,100.0,0.424,101,191
2,0.3,100.0,0.425,86,176
6,0.3,100.0,0.475,95,189
3,0.3,100.0,0.501,167,258
4,0.3,100.0,0.52,233,324
8,0.3,110.0,0.314,36,169
13,0.3,110.0,0.315,22,157
9,0.3,110.0,0.387,61,190
10,0.3,110.0,0.424,138,266
11,0.3,110.0,0.424,123,251
12,0.3,110.0,0.472,171,303
21,0.3,120.0,0.314,50,189
23,0.3,120.0,0.314,45,184
14,0.3,120.0,0.37,63,241
15,0.3,120.0,0.385,108,287
16,0.3,120.0,0.387,62,241
17,0.3,120.0,0.422,237,415
18,0.3,120.0,0.423,192,370
22,0.3,120.0,0.467,283,467
19,0.3,120.0,0.492,387,565
20,0.3,120.0,0.508,512,691
25,0.3,130.0,0.313,77,220
30,0.3,130.0,0.313,73,217
24,0.3,130.0,0.382,176,412
29,0.3,130.0,0.383,153,403
26,0.3,130.0,0.419,352,594
27,0.3,130.0,0.421,292,535
28,0.3,130.0,0.461,448,691
41,0.3,140.0,0.31,145,293
40,0.3,140.0,0.311,131,279
32,0.3,140.0,0.364,217,542
33,0.3,140.0,0.377,308,633
34,0.3,140.0,0.378,289,614
35,0.3,140.0,0.414,613,937
36,0.3,140.0,0.417,464,788
31,0.3,140.0,0.45,716,1032
37,0.3,140.0,0.452,683,1008
38,0.3,140.0,0.477,764,1089
39,0.3,140.0,0.489,964,1289
51,0.3,150.0,0.307,236,390
50,0.3,150.0,0.308,213,366
43,0.3,150.0,0.358,368,797
44,0.3,150.0,0.369,500,929
45,0.3,150.0,0.371,463,892
46,0.3,150.0,0.406,1062,1490
47,0.3,150.0,0.439,1012,1440
42,0.3,150.0,0.44,997,1414
48,0.3,150.0,0.467,1008,1437
49,0.3,150.0,0.478,1259,1688
52,0.3,160.0,0.303,332,490
53,0.3,160.0,0.351,569,1126
54,0.3,160.0,0.361,724,1281
55,0.3,160.0,0.361,732,1289
56,0.3,160.0,0.424,1427,1984
59,0.3,160.0,0.424,1442,2013
57,0.3,160.0,0.457,1302,1859
58,0.3,160.0,0.464,1626,2184
61,0.3,170.0,0.348,1090,1805
62,0.3,170.0,0.35,1051,1766
60,0.3,170.0,0.42,1568,2216
