MEA_weight_fraction,temperature,pressure_MEA_raoult,total_pressure,CO2_pressure,CO2_loading
0.3,0,0.54,200,0.0012,0.4
0.3,0,0.54,200,0.00595,0.459
0.3,0,0.54,200,0.0236,0.495
0.3,0,0.54,200,0.253,0.55
0.3,0,0.54,200,1.76,0.604
0.3,0,0.54,200,13.2,0.646
0.3,25,2.8,200,0.00213,0.211
0.3,25,2.8,300,0.00927,0.323
0.3,25,2.8,200,0.06,0.439
0.3,25,2.8,200,0.392,0.494
0.3,25,2.8,200,2.8,0.536
0.3,25,2.8,210,11.8,0.5855
0.3,25,2.8,300,55.1,0.663
0.3,25,2.8,100,97.2,0.6965
0.3,40,6.6,200,0.00147,0.0888
0.3,40,6.6,200,0.00896,0.203
0.3,40,6.6,300,0.0677,0.365
0.3,40,6.6,210,0.604,0.4735
0.3,40,6.6,220,2.57,0.513
0.3,40,6.6,230,8.09,0.557
0.3,40,6.6,210,36.1,0.609
0.3,40,6.6,110,103,0.642
0.3,60,18,220,0.00428,0.0564
0.3,60,18,260,0.0193,0.119
0.3,60,18,220,0.0579,0.206
0.3,60,18,300,0.528,0.389
0.3,60,18,200,2.01,0.438
0.3,60,18,250,11,0.504
0.3,60,18,250,34,0.561
0.3,60,18,100,82,0.579
0.3,60,18,300,282,0.668
0.3,80,42,250,0.00296,0.0174
0.3,80,42,280,0.00484,0.0236
0.3,80,42,250,0.0465,0.0781
0.3,80,42,250,0.0992,0.118
0.3,80,42,250,0.278,0.187
0.3,80,42,300,2.67,0.348
0.3,80,42,200,16,0.46
0.3,80,42,100,56,0.517
0.3,80,42,500,235,0.5785
0.3,80,42,600,558,0.64
0.3,80,42,1000,958,0.689
0.3,100,91,300,0.00724,0.0117
0.3,100,91,300,0.136,0.0566
0.3,100,91,300,1.43,0.188
0.3,100,91,110,19,0.381
0.3,100,91,130,39,0.422
0.3,100,91,160,69,0.477
0.3,100,91,200,109,0.481
0.3,100,91,600,509,0.571
0.3,100,91,700,376,0.589
0.3,100,91,1000,909,0.6135
0.3,120,178,250,0.00202,0.00333
0.3,120,178,350,0.0221,0.0112
0.3,120,178,400,0.0984,0.0247
0.3,120,178,300,2.29,0.119
0.3,120,178,350,46.8,0.349
0.3,120,178,300,122,0.4115
0.3,120,178,400,222,0.444
0.3,120,178,600,422,0.473
0.3,120,178,1000,822,0.536
0.3,120,178,3000,2804,0.639
0.3,150,429,600,0.00477,0.00199
0.3,150,429,650,0.0239,0.00496
0.3,150,429,520,0.0843,0.00992
0.3,150,429,600,0.184,0.0134
0.3,150,429,600,2.63,0.0509
0.3,150,429,630,34.2,0.153
0.3,150,429,730,123,0.301
0.3,150,429,850,420,0.358
0.3,150,429,1000,560,0.388
0.3,150,429,2400,570,0.484
0.3,150,429,5000,4544,0.583
0.3,150,429,9000,8525,0.6505
